Оценка,Положительный отзыв,Отрицательный отзыв
7,The staff were very friendly and the Hotel was clean and tidy but room had faults.,The room had no outside window.
8,Staff were excellent. Room was spotlessly clean. Very convenient location,The room was very small
8,close to the tube.,stairs and lift were a bit grubby. Bed was a bit soft
8,"Clean hotel
helpful some friendly staff","The hotel took half of the balance for the stay two days before we arrived, then the full balance we where expecting to pay on checking in including the amount we’d already paid telling us they would transfer the amount they’d taken two days before back to us. Two days later still no money returned to us. 

on check out my brother in law was told he had nothing to pay, the reception staff where instant, then on the train going home was called by the hotel to say he hadn’t paid for breakfast. 

This has put us off staying here again, despite how nice the environment of the hotel was."
9,"Friendly staff good location
and cooked breakfast.",Nothing.
7,food and room,Отрицательный отзыв отсутствует.
8,good price,decor a little tired.
8,The location was excellent. The staff were excellent. The breakfast was excellent.,"The double bed was actually two single beds pushed together- if we were staying longer I would have raised this as a concern and requested a move to a double room as we did actually pay for a deluxe double. Having said that, I would definitely recommend this Park Grand Hotel."
8,Good location and friendly staff. Clean and comfortable and good value.,Deluxe room very small and more like a regular room.
8,close to underground and local bars,advert in room for 3 course meal which didn’t exist. no bar area and no beer at all
8,Got complimentary upgrade. Very friendly amd helpful staff. Thankyou,Bit dated
8,Nice staff and hotel,"The hotels location is very central & noisy, given this I don't think I'd stay here again, I'm aware the hotel is in Central London however for context I have also stayed in Central London in September & the other hotels location was in a much quieter area, given the noise I didn't get much sleep, perhaps the hotel could apply changes to address this issue such as better insulated windows"
9,"Fantastic welcome by Mira and Elis, who left a very thoughtful note for my partner, whose birthday we were celebrating. Good shower, with plenty of toiletries. Very clean and quiet. Comfortable bed. The hotel is in a pretty quiet street, near Earl's Court tube. It is within walking distance of Kensington Palace and Notting Hill Gate too. All staff were excellent.",Room was a bit too warm and we couldn't adjust the heating / air con. Property is a bit tired.
8,Clean rooms with a decent buffet breakfast.,Nothing
8,Friendly helpful staff,Отрицательный отзыв отсутствует.
8,The staff were great.,"The room was in the basement, you could see out of the window rubbish which needed to be picked up"
